frame,x,y
0,1568,628
1,1556,618
2,1540,552
3,1546,542
4,1549,533
5,1551,533
6,1590,658
7,1595,792
8,1595,828
9,1595,828
10,1593,850
11,1595,845
12,1595,845
13,1588,841
14,1586,840
15,1474,784
16,1474,784
17,1263,687
18,1258,689
19,1258,689
20,1249,675
21,1248,677
22,1212,653
23,1165,618
24,1138,611
25,1479,347
26,1547,322
27,1608,293
28,1596,300
29,1596,301
30,1596,303
31,1598,315
32,1598,315
33,1578,328
34,1361,432
35,968,657
36,985,657
37,1019,655
38,1068,652
39,1068,652
40,989,611
41,985,606
42,977,592
43,960,589
44,951,570
45,950,567
46,1017,559
47,1028,547
48,1024,498
49,1053,496
50,1050,489
51,1029,435
52,1024,413
