frame,x,y
0,24,29
1,24,29
2,24,27
3,22,29
4,27,37
5,32,56
6,44,73
7,46,73
8,49,74
9,47,74
10,47,74
11,44,74
12,44,74
13,281,173
14,821,396
15,841,430
16,846,491
17,865,542
18,868,545
19,895,538
20,899,538
21,901,537
22,897,537
23,897,537
24,897,537
25,897,537
26,897,537
27,897,537
28,897,537
29,897,537
30,897,537
31,897,537
32,897,537
33,897,537
34,897,537
35,897,537
36,899,538
37,899,538
38,899,538
39,899,538
40,899,538
41,909,555
42,923,564
43,924,562
44,924,564
45,924,564
46,924,564
47,923,562
48,923,562
49,923,562
