frame,x,y,button,event
68,605,131,Button.left,Pressed
73,605,131,Button.left,Released
177,604,126,Button.left,Pressed
181,604,126,Button.left,Released
184,604,126,Button.left,Pressed
190,604,126,Button.left,Released
382,150,215,Button.left,Pressed
386,150,215,Button.left,Released
472,144,347,Button.left,Pressed
473,144,347,Button.left,Released
480,144,347,Button.left,Pressed
485,144,347,Button.left,Released
500,144,347,Button.left,Pressed
504,144,347,Button.left,Released
555,120,128,Button.left,Pressed
560,120,128,Button.left,Released
590,125,151,Button.left,Pressed
596,126,151,Button.left,Released
673,369,205,Button.left,Pressed
680,369,205,Button.left,Released
786,318,252,Button.left,Pressed
790,318,252,Button.left,Released
