frame,key,event
897,Key.enter,Released
1388,'h',Pressed
1389,'t',Pressed
1390,'t',Pressed
1391,'p',Pressed
1392,'p',Released
1415,Key.enter,Released
1475,Key.enter,Released
2554,Key.backspace,Pressed
2555,Key.backspace,Released
2563,Key.backspace,Pressed
2564,Key.backspace,Released
2569,Key.backspace,Pressed
2570,Key.backspace,Released
2576,Key.backspace,Released
2587,Key.backspace,Pressed
2588,Key.backspace,Released
3270,'h',Released
3271,'t',Released
3272,'t',Released
3273,'p',Released
3305,Key.enter,Pressed
3306,Key.enter,Released
3354,Key.enter,Pressed
3355,Key.enter,Released
