frame,x,y
0,990,445
1,990,445
2,990,445
3,990,445
4,990,445
5,990,445
6,990,445
7,1104,432
8,1246,411
9,1261,410
10,1256,416
11,1281,401
12,1444,371
13,1471,366
14,1476,369
15,1474,376
16,1464,371
17,1444,383
18,1419,430
19,1420,440
20,1447,442
21,1463,440
22,1434,438
23,1380,440
24,1398,440
25,1413,440
26,1415,440
27,1417,437
28,1429,449
29,1430,454
30,1430,460
31,1432,460
32,1432,460
33,1432,464
34,1430,464
35,1430,464
36,1419,474
37,1419,474
38,1415,476
39,1413,479
40,1410,484
41,1412,484
42,1410,488
43,1410,488
44,1495,449
45,1500,444
46,1510,440
47,1515,437
48,1515,438
49,1478,437
50,1437,442
51,1434,440
52,1434,440
53,1432,442
54,1432,442
55,1432,442
56,1432,442
57,1432,442
58,1432,442
59,1432,442
60,1432,442
61,1432,442
62,1432,442
63,1432,442
64,1432,442
65,1432,442
66,1432,442
67,1432,442
68,1432,442
69,1432,442
70,1432,442
71,1425,440
72,1425,440
73,1425,440
74,1425,440
75,1483,445
76,1620,450
77,1769,455
78,1823,462
79,1838,460
80,1835,449
81,1830,449
82,1830,447
83,1767,449
84,1493,464
85,1156,493
86,1078,501
87,1065,506
88,939,562
89,933,586
90,926,598
91,926,598
92,926,598
93,926,598
94,943,584
