frame,x,y,button,event
48,76,354,Button.left,Pressed
51,76,354,Button.left,Released
99,65,353,Button.left,Pressed
102,65,353,Button.left,Released
340,674,392,Button.left,Pressed
347,674,392,Button.left,Released
439,607,586,Button.left,Pressed
441,607,586,Button.left,Released
528,691,416,Button.left,Pressed
534,691,416,Button.left,Released
600,636,442,Button.left,Pressed
605,636,442,Button.left,Released
825,577,584,Button.left,Pressed
831,577,584,Button.left,Released
899,613,885,Button.left,Pressed
