frame,key,event
335,'n',Pressed
342,'n',Released
359,'y',Pressed
366,'y',Released
378,'q',Pressed
386,'u',Pressed
392,'u',Released
452,'i',Pressed
459,'i',Released
462,'s',Pressed
471,'s',Released
491,'t',Pressed
497,'t',Released
509,Key.shift,Pressed
512,'_',Pressed
516,'-',Released
525,'r',Pressed
531,'a',Pressed
532,'r',Released
536,'a',Released
543,'t',Pressed
547,'t',Released
560,'e',Pressed
569,'e',Released
619,'/',Pressed
624,'/',Released
637,'1',Pressed
645,'1',Released
664,'e',Pressed
670,'e',Released
689,'6',Pressed
698,'6',Released
