frame,key,event
0,'p',Released
33,Key.space,Released
58,'w',Pressed
59,'w',Released
68,'w',Released
75,'w',Released
84,'.',Pressed
85,'.',Released
98,'b',Pressed
99,'b',Released
102,'a',Pressed
103,'a',Released
109,'o',Pressed
110,'i',Pressed
111,'i',Released
117,'d',Released
125,'u',Released
148,Key.backspace,Released
155,Key.backspace,Released
162,Key.backspace,Released
167,Key.backspace,Released
184,'i',Released
185,'u',Pressed
186,'u',Released
191,'d',Pressed
192,'d',Released
197,'u',Pressed
198,'u',Released
222,Key.backspace,Pressed
223,Key.backspace,Released
229,Key.backspace,Released
235,Key.backspace,Pressed
236,Key.backspace,Released
243,'d',Pressed
244,'d',Released
250,'u',Released
294,'.',Released
302,'c',Released
313,'o',Pressed
314,'o',Released
317,'m',Pressed
318,'m',Released
337,Key.enter,Released
