frame,key,event
420,Key.backspace,Pressed
425,Key.backspace,Released
430,Key.backspace,Pressed
435,Key.backspace,Released
442,'5',Pressed
450,'5',Released
622,Key.backspace,Pressed
629,Key.backspace,Released
635,Key.backspace,Pressed
640,Key.backspace,Released
694,'5',Pressed
700,'5',Released
707,'0',Pressed
711,'0',Released
986,'6',Pressed
992,'6',Released
997,'0',Pressed
1002,'0',Released
1393,'t',Pressed
1398,'e',Pressed
1405,'e',Released
1409,'s',Pressed
1417,'s',Released
1422,'t',Pressed
1427,'t',Released
