frame,x,y,button,event
71,1040,334,Button.left,Pressed
77,1040,334,Button.left,Released
277,991,678,Button.left,Pressed
282,991,678,Button.left,Released
383,972,385,Button.left,Pressed
388,972,385,Button.left,Released
442,965,410,Button.left,Pressed
448,965,410,Button.left,Released
594,982,492,Button.left,Pressed
642,955,492,Button.left,Released
759,1041,542,Button.left,Pressed
764,1041,542,Button.left,Released
924,981,690,Button.left,Pressed
930,981,690,Button.left,Released
1000,971,747,Button.left,Pressed
1002,971,747,Button.left,Released
1058,1050,693,Button.left,Pressed
1066,1050,693,Button.left,Released
1121,983,768,Button.left,Pressed
1127,983,768,Button.left,Released
1189,973,799,Button.left,Pressed
1193,973,799,Button.left,Released
1323,1050,215,Button.left,Pressed
1331,1050,215,Button.left,Released
1550,1061,938,Button.left,Pressed
1559,1061,938,Button.left,Released
