frame,key,event
176,'t',Pressed
177,'r',Pressed
178,'a',Pressed
179,'c',Pressed
180,'e',Pressed
181,'e',Released
182,'r',Released
183,'t',Released
206,Key.space,Pressed
207,Key.space,Released
277,Key.alt_l,Pressed
293,Key.alt_l,Released
353,Key.ctrl_l,Pressed
367,'\x16',Released
376,Key.ctrl_l,Released
439,Key.enter,Pressed
440,Key.enter,Released
855,Key.backspace,Released
862,Key.backspace,Released
869,Key.backspace,Pressed
870,Key.backspace,Released
875,Key.backspace,Pressed
876,Key.backspace,Released
917,'i',Pressed
918,'p',Pressed
919,'p',Released
929,Key.enter,Released
1161,'i',Pressed
1162,'c',Pressed
1163,'m',Pressed
1164,'p',Pressed
1165,'p',Released
1177,Key.enter,Pressed
1178,Key.enter,Released
1410,Key.enter,Pressed
1411,Key.enter,Released
1695,Key.enter,Pressed
1696,Key.enter,Released
2019,Key.enter,Released
2852,Key.down,Released
2860,Key.down,Pressed
2861,Key.down,Released
2868,Key.down,Pressed
2869,Key.down,Released
2878,Key.down,Released
2889,Key.down,Pressed
2890,Key.down,Released
2896,Key.down,Pressed
2897,Key.down,Released
2904,Key.down,Pressed
2905,Key.down,Released
2913,Key.down,Released
2920,Key.down,Released
2928,Key.down,Pressed
2929,Key.down,Released
2936,Key.down,Released
2944,Key.down,Pressed
2945,Key.down,Released
2952,Key.down,Pressed
2953,Key.down,Released
2960,Key.down,Pressed
2961,Key.down,Released
2968,Key.down,Released
2975,Key.down,Released
2985,Key.down,Released
2995,Key.down,Pressed
2996,Key.down,Released
3021,Key.up,Released
3132,Key.down,Released
3367,Key.alt_l,Released
3368,Key.ctrl_l,Released
3554,Key.enter,Pressed
3555,Key.enter,Released
3577,Key.enter,Pressed
3578,Key.enter,Released
3590,Key.enter,Pressed
3591,Key.enter,Released
3600,Key.enter,Pressed
3601,Key.enter,Released
3610,Key.enter,Released
3619,Key.enter,Pressed
3620,Key.enter,Released
3667,Key.enter,Released
3676,Key.enter,Released
3685,Key.enter,Released
3693,Key.enter,Pressed
3694,Key.enter,Released
3702,Key.enter,Released
3941,Key.ctrl_l,Pressed
3953,'\x03',Released
3957,Key.ctrl_l,Released
4648,'p',Pressed
4649,'i',Pressed
4650,'i',Released
4651,'n',Released
4697,'g',Released
4707,Key.enter,Released
4755,Key.enter,Pressed
4756,Key.enter,Released
4757,'',Pressed
