frame,x,y,button,event
23,1286,809,Button.left,Pressed
29,1286,810,Button.left,Released
333,1286,810,Button.left,Pressed
339,1286,810,Button.left,Released
802,636,84,Button.left,Pressed
807,636,84,Button.left,Released
1060,551,87,Button.left,Pressed
1062,551,87,Button.left,Released
1067,551,87,Button.left,Pressed
1072,551,87,Button.left,Released
1308,379,1052,Button.left,Pressed
1311,379,1052,Button.left,Released
1343,437,1018,Button.left,Pressed
1346,437,1018,Button.left,Released
1376,1112,740,Button.left,Pressed
1380,1113,740,Button.left,Released
1988,1191,693,Button.left,Pressed
1990,1191,694,Button.left,Released
2126,1305,195,Button.left,Pressed
2167,1334,168,Button.left,Released
2191,720,381,Button.left,Pressed
2193,720,381,Button.left,Released
2286,689,348,Button.left,Pressed
2290,689,348,Button.left,Released
2305,689,348,Button.left,Pressed
2306,689,348,Button.left,Released
2422,327,15,Button.left,Pressed
2470,447,149,Button.left,Released
2607,146,397,Button.left,Pressed
2611,146,397,Button.left,Released
2681,1612,140,Button.left,Pressed
2687,1612,140,Button.left,Released
3437,356,1050,Button.left,Pressed
3442,355,1050,Button.left,Released
3486,484,998,Button.left,Pressed
3494,484,998,Button.left,Released
3529,1171,780,Button.left,Pressed
3532,1171,780,Button.left,Released
3644,1171,780,Button.left,Pressed
3646,1171,780,Button.left,Released
4209,481,1067,Button.left,Pressed
4215,481,1067,Button.left,Released
4354,1284,324,Button.left,Pressed
4359,1284,324,Button.left,Released
4530,57,1054,Button.left,Pressed
4533,57,1054,Button.left,Released
5049,1247,391,Button.left,Pressed
5050,1247,391,Button.left,Released
5244,271,101,Button.left,Pressed
5247,271,101,Button.left,Released
