frame,key,event
116,'f',Pressed
120,'f',Released
126,'f',Pressed
133,'f',Released
168,'t',Pressed
175,'t',Released
188,Key.shift,Pressed
194,'_',Pressed
197,Key.shift,Released
199,'-',Released
210,'l',Pressed
214,'l',Released
216,'e',Pressed
224,'e',Released
226,'n',Pressed
230,'n',Released
339,'f',Pressed
344,'f',Released
349,'f',Pressed
358,'f',Released
385,'t',Pressed
392,'t',Released
408,Key.shift,Pressed
412,'_',Pressed
417,'_',Released
418,Key.shift,Released
432,'l',Pressed
436,'l',Released
440,'e',Pressed
449,'n',Pressed
454,'n',Released
481,'/',Pressed
485,'/',Released
489,'/',Pressed
494,'/',Released
501,'4',Pressed
510,'4',Released
