frame,x,y,button,event
11,553,564,Button.left,Pressed
14,553,564,Button.left,Released
290,1042,406,Button.left,Pressed
294,1042,406,Button.left,Released
571,1009,481,Button.left,Pressed
576,1009,481,Button.left,Released
681,985,511,Button.left,Pressed
688,985,511,Button.left,Released
759,1117,532,Button.left,Pressed
767,1117,532,Button.left,Released
939,1032,524,Button.left,Pressed
947,1032,524,Button.left,Released
1040,997,548,Button.left,Pressed
1045,997,547,Button.left,Released
1142,988,565,Button.left,Pressed
1148,988,564,Button.left,Released
1244,967,615,Button.left,Pressed
1251,967,615,Button.left,Released
1295,1066,590,Button.left,Pressed
1302,1066,590,Button.left,Released
1475,1055,684,Button.left,Pressed
1515,1055,684,Button.left,Released
1670,1059,201,Button.left,Pressed
1680,1059,201,Button.left,Released
