frame,x,y,button,event
383,1115,338,Button.left,Pressed
387,1115,338,Button.left,Released
462,500,290,Button.right,Pressed
469,500,290,Button.right,Released
551,1172,394,Button.left,Pressed
557,1172,394,Button.left,Released
679,634,745,Button.left,Pressed
683,634,745,Button.left,Released
756,403,590,Button.left,Pressed
761,402,589,Button.left,Released
859,113,102,Button.left,Pressed
897,271,513,Button.left,Released
906,547,466,Button.left,Pressed
913,547,466,Button.left,Released
954,452,326,Button.right,Pressed
960,452,326,Button.right,Released
1074,639,478,Button.left,Pressed
1080,639,478,Button.left,Released
2315,1887,25,Button.left,Pressed
2320,1887,25,Button.left,Released
