frame,x,y,button,event
11,60,251,Button.left,Pressed
15,60,251,Button.left,Released
233,688,398,Button.left,Pressed
241,688,398,Button.left,Released
681,654,416,Button.left,Pressed
688,654,416,Button.left,Released
936,689,338,Button.left,Pressed
943,689,338,Button.left,Released
1221,735,375,Button.left,Pressed
1229,735,375,Button.left,Released
1262,696,363,Button.left,Pressed
1267,696,362,Button.left,Released
1580,619,515,Button.left,Pressed
1585,619,515,Button.left,Released
1695,671,388,Button.left,Pressed
1701,671,388,Button.left,Released
1831,620,440,Button.left,Pressed
1837,620,440,Button.left,Released
1939,682,423,Button.left,Pressed
1944,682,423,Button.left,Released
2002,652,440,Button.left,Pressed
2010,652,440,Button.left,Released
2117,767,455,Button.left,Pressed
2127,767,455,Button.left,Released
2219,651,472,Button.left,Pressed
2257,651,472,Button.left,Released
2442,646,346,Button.left,Pressed
2477,646,346,Button.left,Released
