frame,key,event
238,'6',Pressed
243,'6',Released
271,'.',Pressed
276,'.',Released
302,'2',Pressed
309,'2',Released
334,'8',Pressed
341,'8',Released
405,'/',Pressed
412,'/',Released
466,'1',Pressed
472,'1',Released
500,'0',Pressed
505,'0',Released
507,'0',Pressed
514,'0',Released
559,'.',Pressed
568,'0',Pressed
570,'.',Released
577,'0',Released
720,'0',Pressed
726,'0',Released
730,'.',Pressed
737,'.',Released
740,'0',Pressed
746,'0',Released
790,'.',Pressed
799,'.',Released
874,Key.backspace,Pressed
879,Key.backspace,Released
894,'0',Pressed
901,'0',Released
911,'.',Pressed
920,'.',Released
963,'2',Pressed
971,'2',Released
1072,'0',Pressed
1079,'0',Released
1084,",",Pressed
1091,",",Released
1097,'0',Pressed
1103,'0',Released
1119,'1',Pressed
1126,'1',Released
1258,'2',Pressed
1264,'2',Released
1268,'0',Pressed
1272,'0',Released
1274,'0',Pressed
1278,'0',Released
