frame,x,y,button,event
75,189,1007,Button.left,Pressed
80,189,1007,Button.left,Released
115,174,914,Button.left,Pressed
120,174,914,Button.left,Released
233,238,1005,Button.left,Pressed
238,238,1005,Button.left,Released
331,440,765,Button.left,Pressed
336,440,765,Button.left,Released
345,440,765,Button.left,Pressed
350,440,765,Button.left,Released
357,440,765,Button.left,Pressed
362,440,765,Button.left,Released
368,440,765,Button.left,Pressed
372,440,765,Button.left,Released
379,440,765,Button.left,Pressed
386,440,765,Button.left,Released
391,440,765,Button.left,Pressed
398,440,765,Button.left,Released
418,440,765,Button.left,Pressed
422,440,765,Button.left,Released
531,532,765,Button.left,Pressed
537,532,765,Button.left,Released
571,532,765,Button.left,Pressed
577,532,765,Button.left,Released
