frame,key,event
187,'s',Pressed
195,'a',Pressed
200,'a',Released
201,'m',Pressed
209,'m',Released
225,'p',Pressed
232,'p',Released
320,Key.shift,Pressed
323,'_',Pressed
329,Key.shift,Released
330,'-',Released
350,'r',Pressed
355,'a',Pressed
359,'r',Released
364,'a',Released
368,'t',Pressed
376,'t',Released
387,'e',Pressed
395,'e',Released
482,'/',Pressed
487,'/',Released
500,'1',Pressed
505,'0',Pressed
508,'1',Released
510,'0',Released
515,'2',Pressed
521,'2',Released
531,'4',Pressed
540,'4',Released
