frame,x,y,button,event
32,1232,184,Button.left,Pressed
34,1232,184,Button.left,Released
36,1232,184,Button.left,Pressed
44,1232,184,Button.left,Released
242,904,491,Button.left,Pressed
282,904,491,Button.left,Released
319,924,518,Button.left,Pressed
320,924,518,Button.left,Released
498,879,552,Button.left,Pressed
500,879,552,Button.left,Released
632,885,584,Button.left,Pressed
636,885,584,Button.left,Released
757,892,613,Button.left,Pressed
761,892,613,Button.left,Released
986,900,678,Button.left,Pressed
991,900,678,Button.left,Released
1135,1051,853,Button.left,Pressed
1138,1051,853,Button.left,Released
