frame,x,y,button,event
11,253,698,Button.left,Pressed
17,253,698,Button.left,Released
346,379,822,Button.left,Pressed
565,371,831,Button.left,Released
572,372,830,Button.left,Pressed
577,372,830,Button.left,Released
610,373,807,Button.left,Pressed
946,430,821,Button.left,Released
987,396,869,Button.left,Pressed
1082,409,869,Button.left,Released
1108,400,895,Button.left,Pressed
1309,420,891,Button.left,Released
1367,225,715,Button.left,Pressed
1372,225,715,Button.left,Released
1398,181,771,Button.left,Pressed
1403,181,771,Button.left,Released
