frame,x,y,button,event
46,88,333,Button.left,Pressed
51,88,333,Button.left,Released
103,320,454,Button.left,Pressed
106,320,454,Button.left,Released
139,301,433,Button.left,Pressed
145,301,433,Button.left,Released
196,405,445,Button.left,Pressed
201,405,445,Button.left,Released
310,526,402,Button.left,Pressed
316,526,402,Button.left,Released
413,880,349,Button.left,Pressed
419,880,349,Button.left,Released
705,152,859,Button.left,Pressed
709,152,859,Button.left,Released
790,274,355,Button.left,Pressed
795,274,358,Button.left,Released
853,260,381,Button.left,Pressed
856,257,382,Button.left,Released
899,253,384,Button.left,Pressed
