frame,key,event
373,']',Pressed
374,']',Released
382,']',Pressed
383,']',Released
389,']',Pressed
390,']',Released
397,']',Released
413,Key.backspace,Pressed
414,Key.backspace,Released
430,Key.backspace,Pressed
431,Key.backspace,Released
440,Key.backspace,Released
449,Key.backspace,Released
457,Key.backspace,Released
465,Key.backspace,Released
472,Key.backspace,Released
480,Key.backspace,Pressed
481,Key.backspace,Released
487,Key.backspace,Pressed
488,Key.backspace,Released
495,Key.backspace,Pressed
496,Key.backspace,Released
503,Key.backspace,Released
512,Key.backspace,Released
518,Key.backspace,Pressed
519,Key.backspace,Released
528,Key.backspace,Released
535,Key.backspace,Released
543,Key.backspace,Released
550,Key.backspace,Pressed
551,Key.backspace,Released
679,Key.ctrl_l,Pressed
701,'\x03',Pressed
702,'\x03',Released
711,Key.ctrl_l,Released
722,Key.ctrl_l,Pressed
731,'\x16',Pressed
732,'\x16',Released
740,Key.ctrl_l,Released
1353,Key.ctrl_l,Pressed
1371,'\x03',Pressed
1372,'\x03',Released
1379,Key.ctrl_l,Released
1453,Key.ctrl_l,Pressed
1457,'\x16',Pressed
1458,'\x16',Released
1464,Key.ctrl_l,Released
1494,Key.enter,Pressed
1495,Key.enter,Released
8497,'s',Pressed
8498,'s',Released
8506,'e',Pressed
8507,'e',Released
8511,'a',Pressed
8512,'a',Released
8547,'r',Released
8558,'c',Pressed
8559,'c',Released
8565,'h',Pressed
8566,'h',Released
8576,Key.space,Pressed
8577,Key.space,Released
8764,'w',Released
8770,'l',Released
8778,'a',Pressed
8779,'a',Released
8824,'n',Released
8838,'.',Released
8905,'c',Pressed
8906,'c',Released
8916,'u',Released
8944,'h',Released
8997,'k',Pressed
8998,'k',Released
9015,'.',Pressed
9016,'.',Released
9024,'e',Released
9033,'d',Released
9040,'u',Pressed
9041,'u',Released
9055,'.',Released
9089,'h',Pressed
9090,'h',Released
9092,'k',Pressed
9093,'k',Released
9114,Key.enter,Released
