frame,x,y,button,event
64,194,122,Button.left,Pressed
68,194,122,Button.left,Released
226,435,127,Button.left,Pressed
230,435,127,Button.left,Released
234,435,127,Button.left,Pressed
239,435,127,Button.left,Released
337,146,128,Button.left,Pressed
342,146,128,Button.left,Released
426,226,160,Button.left,Pressed
432,226,160,Button.left,Released
590,244,449,Button.left,Pressed
595,244,449,Button.left,Released
655,126,91,Button.left,Pressed
659,126,91,Button.left,Released
733,129,121,Button.left,Pressed
737,129,121,Button.left,Released
828,209,166,Button.left,Pressed
831,209,167,Button.left,Released
1148,129,108,Button.left,Pressed
1154,129,108,Button.left,Released
1465,491,124,Button.left,Pressed
1473,491,124,Button.left,Released
1544,133,125,Button.left,Pressed
1550,133,125,Button.left,Released
1791,132,142,Button.left,Pressed
1795,132,142,Button.left,Released
1890,128,160,Button.left,Pressed
1895,128,160,Button.left,Released
1967,205,186,Button.left,Pressed
1972,205,186,Button.left,Released
2017,145,178,Button.left,Pressed
2023,145,178,Button.left,Released
2080,245,273,Button.left,Pressed
2084,245,273,Button.left,Released
2376,1623,62,Button.left,Pressed
2381,1623,62,Button.left,Released
