frame,key,event
153,'f',Pressed
158,'f',Released
163,'f',Pressed
169,'f',Released
180,'t',Pressed
188,'t',Released
221,Key.shift,Pressed
224,'_',Pressed
230,'_',Released
232,Key.shift,Released
253,'l',Pressed
257,'l',Released
262,'e',Pressed
270,'e',Released
273,'n',Pressed
278,'n',Released
362,'f',Pressed
367,'f',Released
373,'f',Pressed
380,'f',Released
412,'t',Pressed
419,'t',Released
431,Key.shift,Pressed
436,'_',Pressed
442,'-',Released
454,'l',Pressed
460,'l',Released
468,'e',Pressed
475,'n',Pressed
476,'e',Released
480,'n',Released
505,'/',Pressed
509,'/',Released
513,'/',Pressed
517,'/',Released
524,'4',Pressed
532,'4',Released
