frame,key,event
15,Key.backspace,Released
22,Key.backspace,Released
29,Key.backspace,Pressed
30,Key.backspace,Released
35,Key.backspace,Pressed
36,Key.backspace,Released
77,'i',Pressed
78,'p',Pressed
79,'p',Released
89,Key.enter,Released
321,'i',Pressed
322,'c',Pressed
323,'m',Pressed
324,'p',Pressed
325,'p',Released
337,Key.enter,Pressed
338,Key.enter,Released
570,Key.enter,Pressed
571,Key.enter,Released
855,Key.enter,Pressed
856,Key.enter,Released
1179,Key.enter,Released
