frame,x,y
0,440,391
1,440,391
2,440,391
3,440,391
4,440,391
5,440,391
6,440,391
7,440,391
8,440,391
9,440,391
10,440,391
11,440,391
12,440,391
13,440,391
14,440,391
15,440,391
16,440,391
17,440,391
18,440,391
19,440,391
20,440,391
21,435,390
22,410,374
23,346,317
24,204,149
25,177,98
26,166,76
27,166,76
28,166,76
29,166,76
30,166,76
31,166,76
32,166,76
33,166,76
34,166,76
35,166,76
36,166,76
37,166,76
38,137,76
39,104,76
40,104,76
41,61,71
42,51,66
43,47,64
44,45,63
45,45,62
46,41,59
47,36,55
48,32,52
49,30,49
50,30,49
51,30,49
52,30,49
53,30,49
54,30,49
55,30,49
56,30,49
57,30,49
58,30,49
59,30,49
60,30,49
61,30,49
62,30,49
63,30,49
64,30,49
65,30,49
66,30,49
67,30,49
68,30,49
69,31,49
70,34,49
71,36,50
72,37,51
73,37,51
74,37,51
75,37,51
76,37,51
77,37,51
78,37,51
79,37,51
80,37,51
81,37,51
82,37,51
83,37,51
84,37,51
85,37,51
86,37,51
87,37,51
88,37,51
89,37,51
90,37,51
91,37,51
92,37,51
93,37,51
94,37,51
95,37,51
96,37,51
97,37,51
98,37,51
99,37,52
100,38,52
101,40,53
102,41,54
103,42,55
104,43,56
105,44,56
106,45,56
107,47,56
108,47,56
109,47,56
110,47,56
111,47,56
112,47,56
113,47,56
114,47,56
115,47,56
116,47,56
117,47,56
118,47,56
119,47,56
120,47,56
121,47,56
122,47,56
123,48,56
124,48,56
125,49,56
126,49,56
127,49,56
128,49,56
129,49,56
130,49,56
131,49,56
132,49,56
133,49,56
134,50,56
135,51,56
136,52,56
137,52,56
138,54,56
139,54,57
140,54,57
141,54,57
142,54,57
143,54,57
144,54,57
145,54,57
146,54,57
147,54,57
148,54,57
149,54,57
150,54,57
151,54,57
152,54,57
153,54,57
154,95,93
155,143,133
156,214,187
157,328,271
158,444,351
159,570,425
160,631,453
161,669,469
162,700,480
163,700,480
164,700,480
165,700,480
166,700,480
167,700,480
168,700,480
169,702,480
170,724,485
171,750,493
172,814,514
173,862,531
174,907,545
175,940,554
176,968,561
177,985,565
178,1005,567
179,1019,569
180,1027,570
181,1036,571
182,1043,571
183,1050,571
184,1051,571
185,1052,570
186,1052,570
187,1053,570
188,1054,570
189,1055,570
190,1055,569
191,1055,569
192,1055,569
193,1055,569
194,1055,569
195,1055,569
196,1055,569
197,1055,569
198,1055,569
199,1055,569
200,1055,569
201,1055,569
202,1055,569
203,1055,569
204,1055,569
205,1055,569
206,1055,569
207,1055,569
208,1055,569
209,1055,569
210,1055,569
211,1055,569
212,1055,569
213,1054,567
214,1045,559
215,1025,546
216,940,497
217,814,433
218,675,353
219,675,353
220,626,319
221,612,307
222,612,307
223,611,306
224,611,306
225,611,306
226,611,306
227,611,306
228,611,306
229,611,306
230,611,306
231,611,306
232,611,306
233,611,306
234,611,306
235,611,307
236,603,368
237,595,427
238,584,501
239,572,588
240,560,680
241,553,767
242,553,767
243,553,767
244,553,767
245,553,767
246,553,767
247,553,767
248,553,767
249,553,767
250,553,767
251,553,767
252,553,767
253,553,767
254,553,767
255,553,767
256,553,767
257,553,767
258,553,767
259,553,767
260,553,767
261,553,767
262,553,767
263,553,768
264,550,774
265,536,792
266,518,814
267,500,836
268,483,854
269,454,882
270,443,890
271,443,890
272,414,914
273,403,924
274,391,936
275,383,944
276,373,951
277,366,956
278,355,964
279,349,967
280,342,972
281,334,978
282,328,982
283,320,989
284,307,1000
285,299,1005
286,294,1009
287,289,1013
288,284,1016
289,278,1020
290,271,1025
291,261,1033
292,256,1038
293,253,1040
294,249,1042
295,246,1043
296,244,1044
297,243,1045
298,240,1047
299,238,1048
