frame,key,event
397,'s',Pressed
406,'s',Released
410,'a',Pressed
417,'a',Released
421,'m',Pressed
428,'m',Released
727,Key.backspace,Pressed
757,Key.backspace,Pressed
759,Key.backspace,Pressed
761,Key.backspace,Pressed
763,Key.backspace,Pressed
764,Key.backspace,Pressed
766,Key.backspace,Pressed
767,Key.backspace,Released
804,'b',Pressed
809,'i',Pressed
811,'b',Released
817,'n',Pressed
823,'n',Released
848,Key.shift,Pressed
852,'_',Pressed
855,'-',Released
861,'s',Pressed
867,'s',Released
871,'i',Pressed
877,'z',Pressed
883,'z',Released
888,'e',Pressed
897,'e',Released
