frame,x,y,button,event
1,303,169,Button.left,Pressed
5,303,169,Button.left,Released
53,403,175,Button.left,Pressed
55,403,175,Button.left,Released
117,289,328,Button.left,Pressed
121,289,328,Button.left,Released
284,318,185,Button.left,Pressed
288,318,185,Button.left,Released
324,381,199,Button.left,Pressed
331,381,200,Button.left,Released
362,407,200,Button.left,Pressed
366,407,200,Button.left,Released
459,565,461,Button.left,Pressed
464,565,461,Button.left,Released
515,880,352,Button.left,Pressed
519,880,352,Button.left,Released
594,105,790,Button.left,Pressed
599,105,790,Button.left,Released
