frame,key,event
600,'1',Pressed
606,'1',Released
626,'0',Pressed
632,'0',Released
642,'2',Pressed
648,'2',Released
666,'4',Pressed
671,'4',Released
795,'0',Pressed
802,'0',Released
869,'s',Pressed
876,'s',Released
878,'a',Pressed
883,'a',Released
890,'m',Pressed
898,'m',Released
899,'p',Pressed
904,'p',Released
916,Key.shift,Pressed
918,'_',Pressed
923,Key.shift,Released
924,'-',Released
937,'r',Pressed
941,'a',Pressed
943,'r',Released
949,'a',Released
953,'t',Pressed
957,'t',Released
958,'e',Pressed
965,'e',Released
