frame,x,y,button,event
28,478,704,Button.left,Pressed
33,478,704,Button.left,Released
36,478,704,Button.left,Pressed
44,478,704,Button.left,Released
123,883,431,Button.left,Pressed
125,885,430,Button.left,Released
135,886,428,Button.left,Pressed
139,886,428,Button.left,Released
287,953,535,Button.left,Pressed
290,953,535,Button.left,Released
316,951,445,Button.left,Pressed
318,951,445,Button.left,Released
806,933,515,Button.left,Pressed
811,933,515,Button.left,Released
1312,894,552,Button.left,Pressed
1317,894,552,Button.left,Released
1488,916,584,Button.left,Pressed
1492,916,584,Button.left,Released
1931,1054,861,Button.left,Pressed
1935,1054,861,Button.left,Released
