frame,key,event
150,'f',Pressed
157,'f',Released
173,'r',Pressed
181,'r',Released
215,'e',Pressed
224,'e',Released
237,'q',Pressed
247,'q',Released
465,Key.shift,Pressed
471,'T',Pressed
474,Key.shift,Released
476,'t',Released
488,'x',Pressed
495,'x',Released
512,Key.shift,Pressed
514,'_',Pressed
519,'_',Released
522,Key.shift,Released
535,Key.shift,Pressed
541,'F',Pressed
546,Key.shift,Released
548,'f',Released
562,'r',Pressed
569,'r',Released
579,'e',Pressed
587,'e',Released
591,'q',Pressed
601,'q',Released
1013,'2',Pressed
1019,'2',Released
1046,<65437>,Pressed
1054,<65437>,Released
1066,'0',Pressed
1074,'0',Released
1123,'0',Pressed
1131,'0',Released
1141,'0',Pressed
1146,'0',Released
1155,'0',Pressed
1162,'0',Released
1206,'0',Pressed
1212,'0',Released
1387,'0',Pressed
1394,'0',Released
1597,'n',Pressed
1605,'n',Released
1619,'y',Pressed
1627,'y',Released
1712,'q',Pressed
1721,'q',Released
1722,'u',Pressed
1727,'u',Released
1733,'i',Pressed
1739,'i',Released
1741,'s',Pressed
1749,'s',Released
1778,'t',Pressed
1785,'t',Released
1795,Key.shift,Pressed
1800,'_',Pressed
1805,'_',Released
1806,Key.shift,Released
1818,'r',Pressed
1823,'a',Pressed
1825,'r',Released
1831,'a',Released
1846,'t',Pressed
1851,'t',Released
1861,'e',Pressed
1869,'e',Released
