frame,x,y,button,event
84,754,365,Button.left,Pressed
88,754,366,Button.left,Released
171,18,52,Button.left,Pressed
175,18,52,Button.left,Released
237,1050,573,Button.left,Pressed
242,1050,573,Button.left,Released
1589,70,1047,Button.left,Pressed
1591,70,1048,Button.left,Released
1883,224,1058,Button.left,Pressed
1886,224,1058,Button.left,Released
2019,493,17,Button.left,Pressed
2021,493,17,Button.left,Released
2056,301,20,Button.left,Pressed
2059,301,20,Button.left,Released
2089,251,20,Button.left,Pressed
2091,251,20,Button.left,Released
2130,724,400,Button.left,Pressed
2132,724,401,Button.left,Released
2431,377,401,Button.left,Pressed
2434,377,401,Button.left,Released
2609,1057,529,Button.left,Pressed
2615,1057,529,Button.left,Released
2748,1453,153,Button.left,Pressed
2751,1453,153,Button.left,Released
2894,677,867,Button.left,Pressed
2896,677,867,Button.left,Released
3082,1829,74,Button.left,Pressed
3086,1829,74,Button.left,Released
3145,1617,415,Button.left,Pressed
3151,1617,415,Button.left,Released
5012,1775,117,Button.left,Pressed
5016,1775,117,Button.left,Released
5139,352,129,Button.left,Pressed
5144,352,129,Button.left,Released
5148,352,129,Button.left,Pressed
5156,352,129,Button.left,Released
5482,1078,685,Button.left,Pressed
5485,1078,685,Button.left,Released
5550,1078,685,Button.left,Pressed
5554,1078,685,Button.left,Released
5606,1078,685,Button.left,Pressed
5610,1078,685,Button.left,Released
5688,955,329,Button.left,Pressed
5723,1012,330,Button.left,Released
