frame,key,event
1504,Key.alt_l,Pressed
1524,Key.alt_l,Released
1674,'p',Pressed
1675,'p',Released
1685,'i',Pressed
1686,'i',Released
1690,'n',Pressed
1691,'n',Released
1694,'g',Released
1714,Key.enter,Released
1800,Key.backspace,Pressed
1801,Key.backspace,Released
1810,Key.backspace,Pressed
1811,Key.backspace,Released
1816,Key.backspace,Pressed
1817,Key.backspace,Released
1823,Key.backspace,Released
2170,'p',Released
2181,'i',Released
2186,'n',Released
2191,'g',Released
2198,'p',Pressed
2199,'p',Released
2215,'l',Pressed
2216,'l',Released
2224,'o',Pressed
2225,'o',Released
2236,'t',Pressed
2237,'t',Released
2246,'e',Released
2249,'r',Pressed
2250,'r',Released
2258,Key.enter,Released
2365,Key.enter,Pressed
2366,Key.enter,Released
